identifier,title,type,ItemID,FileLocation
CD190825d_east_st_0001_0001,East St: Article or Monograph pg 1,Article or Monograph,CD190825d_east_st_0001,test_CD190825d/media/East_Place_and_Street/0000_East_St_0001p0001-AM.tif
CD190825d_east_st_0001_0002,East St: Article or Monograph pg 2,Article or Monograph,CD190825d_east_st_0001,test_CD190825d/media/East_Place_and_Street/0000_East_St_0001p0002-AM.tif
CD190825d_east_st_0002_0001,East St: Supplemental Material pg 1,Supplemental Material,CD190825d_east_st_0002,test_CD190825d/media/East_Place_and_Street/0000_East_St_0002p0001-SM.tif
CD190825d_east_st_0003_0001,East St: Article or Monograph pg 1,Article or Monograph,CD190825d_east_st_0003,test_CD190825d/media/East_Place_and_Street/0000_East_St_0003p0001-AM.tif
CD190825d_east_st_0003_0002,East St: Article or Monograph pg 2,Article or Monograph,CD190825d_east_st_0003,test_CD190825d/media/East_Place_and_Street/0000_East_St_0003p0002-AM.tif
CD190825d_east_st_0004_0001,East St: Article or Monograph pg 1,Article or Monograph,CD190825d_east_st_0004,test_CD190825d/media/East_Place_and_Street/0000_East_St_0004p0001-AM.tif
CD190825d_east_st_0005_0001,East St: Article or Monograph pg 1,Article or Monograph,CD190825d_east_st_0005,test_CD190825d/media/East_Place_and_Street/0000_East_St_0005p0001-AM.tif
CD190825d_11_east_st_0008_0001,11 East St: CHC Architectural Inventory Form pg 1,CHC Architectural Inventory Form,CD190825d_11_east_st_0008,test_CD190825d/media/East_Place_and_Street/11_East_St_0008p0001-AI.tif
CD190825d_11_east_st_0009_0001,11 East St: CHC Research Form pg 1,CHC Research Form,CD190825d_11_east_st_0009,test_CD190825d/media/East_Place_and_Street/11_East_St_0009p0001-RF.tif
CD190825d_15_east_st_0010_0001,15 East St: CHC Research Form pg 1,CHC Research Form,CD190825d_15_east_st_0010,test_CD190825d/media/East_Place_and_Street/15_East_St_0010p0001-RF.tif
CD190825d_15_east_st_0011_0001,15 East St: Correspondence pg 1,Correspondence,CD190825d_15_east_st_0011,test_CD190825d/media/East_Place_and_Street/15_East_St_0011p0001-CD.tif
CD190825d_15_east_st_0011_0002,15 East St: Correspondence pg 2,Correspondence,CD190825d_15_east_st_0011,test_CD190825d/media/East_Place_and_Street/15_East_St_0011p0002-CD.tif
CD190825d_15_east_st_0011_0003,15 East St: Correspondence pg 3,Correspondence,CD190825d_15_east_st_0011,test_CD190825d/media/East_Place_and_Street/15_East_St_0011p0003-CD.tif
CD190825d_15_east_st_0011_0004,15 East St: Correspondence pg 4,Correspondence,CD190825d_15_east_st_0011,test_CD190825d/media/East_Place_and_Street/15_East_St_0011p0004-CD.tif
CD190825d_15_east_st_0011_0005,15 East St: Correspondence pg 5,Correspondence,CD190825d_15_east_st_0011,test_CD190825d/media/East_Place_and_Street/15_East_St_0011p0005-CD.tif
CD190825d_1_east_st_0006_0001,1 East St: CHC Architectural Inventory Form pg 1,CHC Architectural Inventory Form,CD190825d_1_east_st_0006,test_CD190825d/media/East_Place_and_Street/1_East_St_0006p0001-AI.tif
CD190825d_1_east_st_0007_0001,1 East St: Supplemental Material pg 1,Supplemental Material,CD190825d_1_east_st_0007,test_CD190825d/media/East_Place_and_Street/1_East_St_0007p0001-SM.tif
CD190825d_1_east_st_0007_0002,1 East St: Supplemental Material pg 2,Supplemental Material,CD190825d_1_east_st_0007,test_CD190825d/media/East_Place_and_Street/1_East_St_0007p0002-SM.tif
CD190825d_24_east_st_0012_0001,24 East St: CHC Research Form pg 1,CHC Research Form,CD190825d_24_east_st_0012,test_CD190825d/media/East_Place_and_Street/24_East_St_0012p0001-RF.tif
CD190825d_25_east_st_0013_0001,25 East St: CHC Architectural Inventory Form pg 1,CHC Architectural Inventory Form,CD190825d_25_east_st_0013,test_CD190825d/media/East_Place_and_Street/25_East_St_0013p0001-AI.tif
CD190825d_25_east_st_0014_0001,25 East St: Contact Sheet pg 1,Contact Sheet,CD190825d_25_east_st_0014,test_CD190825d/media/East_Place_and_Street/25_East_St_0014p0001-CS.tif
CD190825d_25_east_st_0015_0001,25 East St: Article or Monograph pg 1,Article or Monograph,CD190825d_25_east_st_0015,test_CD190825d/media/East_Place_and_Street/25_East_St_0015p0001-AM.tif
CD190825d_29_east_st_0016_0001,29 East St: CHC Research Form pg 1,CHC Research Form,CD190825d_29_east_st_0016,test_CD190825d/media/East_Place_and_Street/29_East_St_0016p0001-RF.tif
CD190825d_29_east_st_0017_0001,29 East St: CHC Research Form pg 1,CHC Research Form,CD190825d_29_east_st_0017,test_CD190825d/media/East_Place_and_Street/29_East_St_0017p0001-RF.tif
CD190825d_31_east_st_0018_0001,31 East St: Contact Sheet pg 1,Contact Sheet,CD190825d_31_east_st_0018,test_CD190825d/media/East_Place_and_Street/31_East_St_0018p0001-CS.tif
CD190825d_125_msgr_obrien_highway_0001_0001,125_Msgr O’Brien Highway  Architectural Inventory Form pg 1,CHC Architectural Inventory Form,CD190825d_125_msgr_obrien_highway_0001,test_CD190825d/media/Bridge_Street/125_Msgr_O'Brien_Highway_0057p0001-AI.tif
CD190825d_125_msgr_obrien_highway_0002_0001,125_Msgr O’Brien Highway  Research Form pg 1,CHC Research Form,CD190825d_125_msgr_obrien_highway_0002,test_CD190825d/media/Bridge_Street/125_Msgr_O'Brien_Highhway_0058p0001-RF.tif
